MapCoDoc: Fine-Grained Trace Link Recovery Between Source Code and API Reference Documentation

Q1. Please indicate whether or not you consent to participate.
Reduction of bulky content directly in source code (less docstring bloat).,100.0%,16
Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,100.0%,16
Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,100.0%,16
None of the above.,0.0%,0
Other (please specify),0.0%,0
,Answered,16
,Skipped,0


Q27. MapCoDoc would significantly speed up API evolution analysis and deprecation planning.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,6.25%,1
Neutral,6.25%,1
Agree,43.75%,7
Strongly agree,43.75%,7
,Answered,16
,Skipped,0


Q28. MapCoDoc’s export-chain records would meaningfully reduce the time it takes to identify which public APIs and aliases are affected by a code refactor.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,6.25%,1
Agree,37.5%,6
Strongly agree,56.25%,9
,Answered,16
,Skipped,0


Q29. MapCoDoc would speed up mapping a bug reported against a public API to the exact implementation and other aliases that must be fixed.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,68.75%,11
Strongly agree,31.25%,5
,Answered,16
,Skipped,0


Q30. MapCoDoc's import and export tracing of internal and external code components in the code repository is useful for identifying unused components and facilitating the adoption of explicit export (via __all__).
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,18.75%,3
Strongly agree,81.25%,13
,Answered,16
,Skipped,0


Q31. Recovering trace links from heterogeneous document formats makes MapCoDoc valuable for consolidating documentation and ensuring consistency.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,25.0%,4
Strongly agree,75.0%,12
,Answered,16
,Skipped,0


Q32. MapCoDoc-generated programmatically parseable documentation enables its automated fine-grained quality assessment.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,25.0%,4
Strongly agree,75.0%,12
,Answered,16
,Skipped,0


Q33. MapCoDoc's fine-grained representation of documentation facilitates automated tooling for targeted documentation maintenance/generation.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,25.0%,4
Strongly agree,75.0%,12
,Answered,16
,Skipped,0


Q34. Powering IDE hover/popups with MapCoDoc's fine-grained representation of artifacts and provenance information reduces the required effort to learn about a codebase.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,43.75%,7
Agree,31.25%,5
Strongly agree,25.0%,4
,Answered,16
,Skipped,0


Q35. An AI assistant (agent) that answers developers' questions by querying MapCoDoc's analysis results would generate more accurate responses and consume fewer resources than one searching a raw code repository and documentation.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,6.25%,1
Strongly agree,93.75%,15
,Answered,16
,Skipped,0


"Q36. Relational representation of code, documentation, and import dependencies is critical for component architecture-informed cross-language translation (around public-facing APIs)."
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,6.25%,1
Agree,43.75%,7
Strongly agree,50.0%,8
,Answered,16
,Skipped,0


"Q37. Compared to the manual discovery-translation workflow, using MapCoDoc's output to produce translation specifications and scaffolding would reduce the total time required to port a module/package."
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,56.25%,9
Strongly agree,43.75%,7
,Answered,16
,Skipped,0


Q38. MapCoDoc's output would be a high-quality input to an automated translator or LLM to generate a translation specification.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,31.25%,5
Strongly agree,68.75%,11
,Answered,16
,Skipped,0


Q39. MapCoDoc's relational representation of trace artifacts serves as a foundation for building a benchmark dataset for code-to-documentation.
Answer Choices,Response Percent,Responses
Strongly disagree,0.0%,0
Disagree,0.0%,0
Neutral,0.0%,0
Agree,12.5%,2
Strongly agree,87.5%,14
,Answered,16
,Skipped,0


Q40. Select all that apply: Which use-cases do you consider relevant about MapCoDoc's output as a dataset?
Answer Choices,Response Percent,Responses
To train or fine-tune models to generate high quality API reference documentations.,100.0%,16
To detect stale or mismatched documentations.,93.75%,15
To train models to generate accurate API usage examples.,100.0%,16
To train models to accurately retrieve trace-links between code and documentation.,93.75%,15
To perform provenance / governance research (identify third-party re-exports and licensing exposure),87.5%,14
To estimate maintenance effort by analyzing imports dependencies and export records.,100.0%,16
None of the above.,0.0%,0
Other (please specify),0.0%,0
,Answered,16
,Skipped,0


